"NptgLocalityCode","AdjacentNptgLocalityCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"E0000885","E0000901","","",,""
"E0000886","E0043675","","",,""
"E0001039","N0077312","","",,""
"E0001061","E0001108","","",,""
"E0001074","E0001097","","",,""
"E0001074","N0079768","","",,""
"E0001090","E0001061","","",,""
"E0009490","E0009423","","",,""
"E0009490","E0045750","","",,""
"E0009490","E0045770","","",,""
"E0009607","E0045812","","",,""
"E0009607","E0009654","","",,""
"E0009607","E0009753","","",,""
"E0009607","E0009767","","",,""
"E0009883","E0009872","","",,""
"E0009883","E0009879","","",,""
"E0014436","E0014365","","",,""
"E0014436","E0014377","","",,""
"E0014436","N0074767","","",,""
"E0014497","N0061166","","",,""
"E0014497","E0056015","","",,""
"E0014497","N0074816","","",,""
"E0014497","E0047110","","",,""
"E0014497","E0014499","","",,""
"E0014497","N0078058","","",,""
"E0014538","E0014499","","",,""
"E0014538","E0014427","","",,""
"E0014538","E0047106","","",,""
"E0014538","E0056015","","",,""
"E0014587","E0014585","","",,""
"E0014587","E0014639","","",,""
"E0014711","E0014837","","",,""
"E0014711","E0014803","","",,""
"E0014711","N0078063","","",,""
"E0014839","N0074813","","",,""
"E0014839","E0047175","","",,""
"E0014839","E0014779","","",,""
"E0014839","E0014785","","",,""
"E0014839","E0014727","","",,""
"E0020489","N0061003","","",,""
"E0020544","E0020567","","",,""
"E0020544","E0057603","","",,""
"E0020544","N0077922","","",,""
"E0020554","E0020560","","",,""
"E0020554","E0020556","","",,""
"E0020556","E0020554","","",,""
"E0020556","E0020565","","",,""
"E0020557","E0020558","","",,""
"E0020557","E0057603","","",,""
"E0020558","N0077922","","",,""
"E0020559","E0020567","","",,""
"E0020560","E0020554","","",,""
"E0020562","E0020567","","",,""
"E0020562","E0020559","","",,""
"E0020565","E0020562","","",,""
"E0020565","E0020556","","",,""
"E0020567","E0020544","","",,""
"E0020567","E0057603","","",,""
"E0020667","E0057611","","",,""
"E0020667","N0061146","","",,""
"E0020667","E0040140","","",,""
"E0020765","N0076646","","",,""
"E0039057","E0047722","","",,""
"E0039057","E0039056","","",,""
"E0040525","E0053593","","",,""
"E0040525","E0053602","","",,""
"E0040525","E0053616","","",,""
"E0040530","E0053604","","",,""
"E0040530","E0053606","","",,""
"E0040530","E0053598","","",,""
"E0040531","E0040534","","",,""
"E0040531","E0040541","","",,""
"E0040531","E0040546","","",,""
