AdministrativeAreaCode,AtcoAreaCode,AreaName,AreaNameLang,ShortName,ShortNameLang,Country,RegionCode,MaximumLengthForShortNames ,National,ContactEmail,ContactTelephone,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
1,18,Bath & North East Somerset,,NE Somerset,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-06-13T14:51:33,2,rev
2,258,Blackburn with Darwen,,Blackburn,,Eng,NW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
3,259,Blackpool,,Blackpool,,Eng,NW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
4,532,Blaenau Gwent,,Bl Gwent,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
5,129,Bournemouth,,Bournemouth,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
6,38,Bracknell Forest,,Bracknell F,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
7,551,Bridgend,,Bridgend,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
8,149,Brighton and Hove,,Brighton & Hove,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
9,10,Bristol,,Bristol,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
10,554,Caerphilly,,Caerphilly,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
11,571,Cardiff,,Cardiff,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
12,522,Carmarthenshire,,Carmarthen,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
13,523,Ceredigion,,Ceredigion,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
14,513,Conwy,,Conwy,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
15,76,Darlington,,Darlington,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
16,511,Denbighshire,,Denbigh,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
17,109,Derby,,Derby,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
18,220,East Riding of Yorkshire,,E Yorks,,Eng,Y,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
19,512,Flintshire,,Flintshire,,Wal,W,,0,,,2006-01-25T07:54:33,2006-11-10T10:13:47,1,rev
20,540,Gwynedd,,Gwynedd,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
21,68,Halton,,Halton,,Eng,NW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
22,75,Hartlepool,,Hartlepool,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
23,209,Herefordshire,,Hereford,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
24,541,Isle of Anglesey,,Anglesey,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
25,230,Isle of Wight,,IoW,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-07-26T09:57:00,1,rev
26,229,Kingston upon Hull,,Hull,,Eng,Y,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
27,269,Leicester,,Leicester,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
28,29,Luton,,Luton,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
29,249,Medway,,Medway,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
30,553,Merthyr Tydfil,,Merthyr T,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
31,79,Middlesbrough,,Middlesbrough,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
32,49,Milton Keynes,,M Keynes,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
33,533,Monmouthshire,,Monmouth,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
34,582,Neath Port Talbot,,nr Neath,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
35,531,Newport,,Newport,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
36,228,North East Lincolnshire,,NE Lincs,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
37,227,North Lincolnshire,,N Lincs,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
38,19,North Somerset,,N Somerset,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
39,339,Nottingham,,Nottingham,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
40,521,Pembrokeshire,,Pembrokeshire,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
41,59,Peterborough,,Peterborough,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
42,118,Plymouth,,Plymouth,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
43,128,Poole,,Poole,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
44,199,Portsmouth,,Portsmouth,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
45,561,Powys,,Powys,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
46,39,Reading,,Reading,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
47,78,Redcar & Cleveland,,Cleveland,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
48,552,Rhondda Cynon Taff,,Rhondda,,Wal,W,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
49,268,Rutland,,Rutland,,Eng,EM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
50,37,Slough,,Slough,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
51,17,South Gloucestershire,,S Gloucs,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
52,198,Southampton,,Soton,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
53,158,Southend-on-Sea,,Southend,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
54,77,Stockton-on-Tees,,Stockton,,Eng,NE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
55,389,Stoke-on-Trent,,Stoke,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
56,581,Swansea,,Swansea,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
57,468,Swindon,,Swindon,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
58,359,Telford & Wrekin,,Telford,,Eng,WM,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
59,159,Thurrock,,Thurrock,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
60,119,Torbay,,Torbay,,Eng,SW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
61,534,Torfaen,,Torfaen,,Wal,W,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
62,572,Vale of Glamorgan,,Glamorgan,,Wal,W,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
63,69,Warrington,,Warrington,,Eng,NW,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
64,30,West Berkshire,,W Berks,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-01-25T07:54:33,0,
65,36,Windsor & Maidenhead,,nr Windsor,,Eng,SE,,0,,,2006-01-25T07:54:33,2006-03-10T12:38:33,1,rev
