"NptgLocalityCode","OldNptgLocalityCode","LocalityName","LocalityNameLang","ShortName","ShortNameLang","QualifierName","QualifierNameLang","QualifierLocalityRef","QualifierDistrictRef","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"E0053943","N0071075","Abertyleri","CY","","EN","","EN","","","2002-09-19T07:34:51","2002-09-19T07:34:51",0,""
"E0053947","N0078987","Glyn Ebwy","EN","","EN","","EN","","","2010-08-03T11:03:17","2010-08-03T11:03:17",0,"new"
"E0035468","E0053957","Cynffig","CY","","EN","","EN","","","2002-09-19T07:35:10","2002-09-19T07:35:10",0,""
"E0035438","N0071081","Abercynffig","CY","","EN","","EN","","","2002-09-19T07:35:08","2002-09-19T07:35:08",0,""
"E0053956","N0071082","Llangrallo","EN","","EN","","EN","","","2002-09-19T07:35:12","2002-09-19T07:35:12",0,""
"E0035440","N0071084","Melin Ifan Ddu","EN","","EN","","EN","","","2002-09-19T07:35:15","2002-09-19T07:35:15",0,""
"E0035486","N0071085","Pen-prysg","CY","","EN","","EN","","","2002-09-19T07:35:17","2002-09-19T07:35:17",0,""
"E0053952","N0071086","Pen-y-bont","CY","","EN","Bridgend","CY","","","2002-09-19T07:35:19","2002-09-19T07:35:19",0,""
"E0035754","E0035696","Cascade","EN","","EN","","EN","","","2009-05-29T15:16:27","2009-05-29T15:16:27",0,"new"
"E0053973","N0078552","Bargod","CY","","EN","Caerffili","CY","","","2009-06-02T02:02:01","2009-06-02T02:02:01",0,"new"
"E0035679","N0078557","Aber","CY","","CY","Caerffili","CY","","","2014-02-20T12:30:48","2014-02-20T12:30:48",0,"new"
"E0035680","N0078558","Aberbargod","CY","","EN","","EN","","","2009-06-04T01:36:44","2009-06-04T01:36:44",0,"new"
"E0035683","N0078559","Abertyswg","EN","","EN","","EN","","","2009-06-04T01:36:50","2009-06-04T01:36:50",0,"new"
"E0035688","N0078560","Bedwellte","CY","","EN","","EN","","","2009-06-04T01:36:59","2009-06-04T01:36:59",0,"new"
"E0035694","N0078561","Y Drenewydd","EN","","EN","Caerffili","EN","","","2009-06-04T01:43:46","2009-06-04T01:43:46",0,"new"
"E0053976","N0078562","Caerffili","CY","","EN","","EN","","","2009-06-04T01:37:13","2009-06-04T01:37:13",0,"new"
"N0078554","N0078563","Cefn Mabli","CY","","EN","Caerffili","CY","","","2009-06-04T01:37:23","2009-06-04T01:37:23",0,"new"
"N0061393","N0078564","Parc Churchill","CY","","EN","","EN","","","2009-06-04T01:41:50","2009-06-04T01:41:50",0,"new"
"E0053979","N0078565","Crymlyn","CY","","EN","","EN","","","2009-06-04T01:41:08","2009-06-04T01:41:08",0,"new"
"E0035720","N0078566","Trefeliot","CY","","EN","","EN","","","2009-06-04T01:43:27","2009-06-04T01:43:27",0,"new"
"N0061472","N0078567","Parc Lansbury","CY","","EN","","EN","","","2009-06-04T01:41:59","2009-06-04T01:41:59",0,"new"
"E0053983","N0078568","Maes-y-cwmwr","CY","","EN","","EN","","","2009-06-04T01:41:27","2009-06-04T01:41:27",0,"new"
"N0061473","N0078569","Dolydd Trefore","CY","","EN","","EN","","","2009-06-04T01:41:14","2009-06-04T01:41:14",0,"new"
"E0053985","N0078570","Tredegar Newydd","CY","","EN","","EN","","","2009-06-04T01:43:21","2009-06-04T01:43:21",0,"new"
"E0053986","N0078571","Trecelyn","EN","","EN","Caerphilly","EN","","","2009-06-04T01:43:13","2009-06-04T01:43:13",0,"new"
"N0061412","N0078572","Cefn-y-pant","CY","","CY","Caerphilly","CY","","","2014-02-20T12:31:00","2014-02-20T12:31:00",0,"new"
"E0035765","N0078574","Trephylip","CY","","EN","","EN","","","2009-06-04T01:43:38","2009-06-04T01:43:38",0,"new"
"E0053990","N0078575","Pontllan-fraith","CY","","EN","","EN","","","2009-06-04T01:42:14","2009-06-04T01:42:14",0,"new"
"E0035769","N0078576","Pont-y-meistr","CY","","EN","","EN","","","2009-06-04T01:42:39","2009-06-04T01:42:39",0,"new"
"E0053991","N0078577","Rhymni","CY","","EN","","EN","","","2009-06-04T01:43:04","2009-06-04T01:43:04",0,"new"
"E0053992","N0078578","Rhisga","CY","","EN","","EN","","","2009-06-04T01:42:46","2009-06-04T01:42:46",0,"new"
"N0075383","N0078579","Y Graig","EN","","EN","Caerphilly","EN","","","2009-06-04T01:43:52","2009-06-04T01:43:52",0,"new"
"E0035777","N0078580","Rhydri","CY","","EN","","EN","","","2009-06-04T01:42:58","2009-06-04T01:42:58",0,"new"
"N0061469","N0078581","Rhiw'r Perrau","CY","","EN","","EN","","","2009-06-04T01:42:53","2009-06-04T01:42:53",0,"new"
"E0035782","N0078584","Maes-y-ffynnon","EN","","EN","Caerphilly","EN","","","2009-06-04T01:41:34","2009-06-04T01:41:34",0,"new"
"E0053975","N0078586","Coed Duon","CY","","EN","Caerphilly","CY","","","2009-06-04T01:46:01","2009-06-04T01:46:01",0,"new"
"E0053994","N0078587","Y Fan","CY","","EN","Caerffili","CY","","","2009-06-04T01:48:57","2009-06-04T01:48:57",0,"new"
"E0035722","N0078682","Trelyn","EN","","EN","","EN","","","2010-02-09T00:34:56","2010-02-09T00:34:56",0,"new"
"E0035721","N0078683","Enau'r Glyn","CY","","EN","","EN","","","2010-02-09T00:37:12","2010-02-09T00:37:12",0,"new"
"N0075375","N0078685","Graig-y-rhaca","CY","","EN","","EN","","","2010-02-19T00:59:08","2010-02-19T00:59:08",0,"new"
"E0035738","N0078686","Llwyn Celyn","EN","","EN","Caerphilly","EN","","","2010-02-19T00:59:14","2010-02-19T00:59:14",0,"new"
"E0035751","N0078687","Ochr Chwith","CY","","EN","","EN","","","2010-02-19T01:02:44","2010-02-19T01:02:44",0,"new"
"E0035793","N0078688","Tretomos","CY","","EN","","EN","","","2010-02-19T01:04:42","2010-02-19T01:04:42",0,"new"
"E0035784","N0078689","Draenen Pen-y-graig","CY","","EN","Caerphilly","CY","","","2010-02-19T01:04:51","2010-02-19T01:04:51",0,"new"
"N0075390","E0054003","Trelai","CY","","CY","Caerdydd","CY","","","2014-04-10T17:36:46","2014-04-10T17:36:46",0,"new"
"E0035815","N0071090","Caerdydd","CY","","EN","","EN","","","2014-04-10T17:38:59","2014-04-10T17:38:59",0,"new"
"E0054008","N0071092","Llys-faen","CY","","CY","Cardiff","CY","","","2014-04-10T17:36:57","2014-04-10T17:36:57",0,"new"
"E0054010","N0080553","Ystum Taf","CY","","EN","","EN","","","2014-04-10T17:38:53","2014-04-10T17:38:53",0,"new"
"E0035997","E0036192","Rhydodyn","EN","","EN","","EN","","","2002-09-19T07:38:40","2002-09-19T07:38:40",0,""
"E0054033","N0071117","Caerfyrddin","EN","","EN","","EN","","","2002-09-19T07:37:32","2002-09-19T07:37:32",0,""
"E0035927","N0071118","Carreg Cennen","EN","","EN","","EN","","","2002-09-19T07:37:34","2002-09-19T07:37:34",0,""
"E0054089","N0071119","Castellnewydd Emlyn","CY","","EN","","EN","","","2002-09-19T07:37:36","2002-09-19T07:37:36",0,""
"E0035975","N0071121","Cwm-morgan","EN","","EN","","EN","","","2002-09-19T07:37:39","2002-09-19T07:37:39",0,""
"E0035984","N0071123","Dimbarth","EN","","EN","","EN","","","2002-09-19T07:37:42","2002-09-19T07:37:42",0,""
"E0036246","N0071126","Felin-Wen","EN","","EN","","EN","","","2002-09-19T07:37:47","2002-09-19T07:37:47",0,""
"E0036024","N0071127","Ffwrnais","EN","","EN","","EN","","","2002-09-19T07:37:49","2002-09-19T07:37:49",0,""
"E0036043","N0071128","Gelli-aur","EN","","EN","","EN","","","2002-09-19T07:37:50","2002-09-19T07:37:50",0,""
"E0036011","N0071131","Glanyfferi","EN","","EN","","EN","","","2002-09-19T07:37:55","2002-09-19T07:37:55",0,""
"E0054100","N0071132","Hendy-gwyn","EN","","EN","","EN","","","2002-09-19T07:37:57","2002-09-19T07:37:57",0,""
"E0054048","N0071134","Llanarthne","EN","","EN","","EN","","","2002-09-19T07:38:01","2002-09-19T07:38:01",0,""
"E0054072","N0071135","Llangendeirne","EN","","EN","","EN","","","2002-09-19T07:38:03","2002-09-19T07:38:03",0,""
"E0054071","N0071136","Llangynnwr","EN","","EN","","EN","","","2002-09-19T07:38:04","2002-09-19T07:38:04",0,""
"E0036083","N0071137","Llanmilo","EN","","EN","","EN","","","2002-09-19T07:38:06","2002-09-19T07:38:06",0,""
"E0054054","N0071138","Llanymddyfri","EN","","EN","","EN","","","2002-09-19T07:38:08","2002-09-19T07:38:08",0,""
"E0036088","N0071139","Llwyn-brain","EN","","EN","","EN","","","2002-09-19T07:38:09","2002-09-19T07:38:09",0,""
"E0036107","N0071143","Mynydd-y-garreg","CY","","EN","Carmarthen","CY","","","2002-09-19T07:38:14","2002-09-19T07:38:14",0,""
"E0036022","N0071147","Penair-hewl","EN","","EN","","EN","","","2002-09-19T07:38:21","2002-09-19T07:38:21",0,""
"E0036157","N0071148","Pictwn","CY","","EN","","EN","","","2002-09-19T07:38:22","2002-09-19T07:38:22",0,""
"N0071149","N0071150","Pontwelly","EN","","EN","","EN","","","2002-09-19T07:38:24","2002-09-19T07:38:24",0,""
"E0035910","N0071155","Porth Tywyn","EN","","EN","","EN","","","2002-09-19T07:38:32","2002-09-19T07:38:32",0,""
