"PlusbusZoneCode","Name","NameLang","Country","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"ABDARE","ABDARE","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ABRDEEN","ABRDEEN","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ABRYSTH","ABRYSTH","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ALDRSHT","ALDRSHT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ALNMOTH","ALNMOTH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ANDOVER","ANDOVER","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ARLSEY","ARLSEY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ASHFKY","ASHFKY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"AYLSBRY","AYLSBRY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"AYRR","AYRR","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BANGOR","BANGOR","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BAROW","BAROW","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BARRY","BARRY","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BASILDN","BASILDN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BATHSPA","BATHSPA","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BEDFDM","BEDFDM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BENFLET","BENFLET","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BERKHMD","BERKHMD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BHAMNWS","BHAMNWS","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BIGLSWD","BIGLSWD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BILERCY","BILERCY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BLCKPLN","BLCKPLN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BLKB","BLKB","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BNBR","BNBR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BODMNPW","BODMNPW","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BOGNORR","BOGNORR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BOMO","BOMO","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BRACKNL","BRACKNL","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BRAINTR","BRAINTR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BRDGWTR","BRDGWTR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"BRGEND","BRGEND","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
