,,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
AdminCode,AreaName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bath & North East Somerset,1362.0,-2.426275818384361,0.08102098942449158,-2.6933747051999997,-2.489482424,-2.3964737182999998,-2.363832073975,-2.2945980196,1362.0,51.36302512617393,0.037316927210654646,51.274237213,51.338008353875004,51.3746107142,51.390502813375,51.429419430900005,1362.0,14.430249632892805,23.17489130198929,0.0,4.0,8.0,14.0,406.0,1362.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1362.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,21.0,-2.3635801404761905,0.033211892337858,-2.4956289,-2.35900048,-2.35900048,-2.35900048,-2.30100639,21.0,51.37808741761904,0.012029321116021034,51.34202437,51.37782814,51.37782814,51.37782814,51.41797284
10,Caerphilly,1341.0,-3.2051487509206567,0.053122242167177786,-3.3453642268,-3.2381021438,-3.2148607881999998,-3.1730428848,-3.0701525076,1341.0,51.64717995575563,0.05149058689148942,51.5516072718,51.596078058900005,51.651972363599995,51.679134662399996,51.7825911858,1341.0,2.8329604772557793,0.8930006212936343,0.0,2.0,3.0,3.0,9.0,1341.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1341.0,554.0,0.0,554.0,554.0,554.0,554.0,554.0,0.0,,,,,,,,0.0,,,,,,,
100,Staffordshire,5293.0,-1.9856682443589646,0.21376568298307652,-2.4566701529,-2.1578162443,-2.0184807317,-1.8253408607,-1.5912876347999998,5293.0,52.820977195183154,0.16201709344243914,52.4326430667,52.6860353814,52.7976429977,52.97045921310001,53.2083755532,5293.0,7.156244095975817,6.1489109171656455,0.0,4.0,5.0,8.0,66.0,5293.0,136.05403362932174,58.81296909511923,30.0,71.0,129.0,190.0,310.0,5293.0,380.0,0.0,380.0,380.0,380.0,380.0,380.0,223.0,-1.9762738319282513,0.20437980857441407,-2.25888539,-2.1216151649999997,-2.02214161,-1.82542277,-1.62702818,223.0,52.78314459470852,0.142753861866535,52.53454514,52.68135723,52.75917501,52.860315655,53.1163844
101,Suffolk,6893.0,1.1034017884191178,0.3681805001052385,0.36044337122000003,0.8037077301000001,1.1365765821200002,1.3489247852700001,1.75900859376,6893.0,52.1992161308505,0.15353028024290072,51.9392849005,52.0628963142,52.1874780461,52.3182676639,52.537948775699995,6893.0,7.322501088060351,14.455899273566244,0.0,0.0,3.0,10.0,141.0,6893.0,139.6347018714638,69.52477583092343,9.0,105.0,124.0,195.0,218.0,6893.0,390.0,0.0,390.0,390.0,390.0,390.0,390.0,3836.0,1.0916983920620438,0.35718920464607806,0.36894468,0.79707054,1.13423209,1.33272407,1.75347383,3836.0,52.192680674700206,0.1516943063664662,51.93947409,52.059130025,52.182129915000004,52.3118413375,52.53793449
102,Surrey,5941.0,-0.43984153225704425,0.21351840157650706,-0.8260619344,-0.5972075225,-0.4754359557,-0.2702811911,0.0496310984,5941.0,51.27808041046316,0.08506701186013851,51.08065903560001,51.2164782387,51.2784158191,51.3389431417,51.4627605336,5941.0,4.6774953711496385,2.2353180210142725,0.0,3.0,4.0,6.0,21.0,5941.0,157.1620939235819,55.06997217735583,44.0,91.0,160.0,199.0,296.0,5941.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,5295.0,-0.4412593596751653,0.2125343798280231,-0.82515603,-0.59666361,-0.47563581,-0.27317356,0.04965748,5295.0,51.278112217677055,0.0850325638207094,51.08041242,51.216063695,51.27868762,51.33882928,51.45871698
103,Tyne & Wear,6561.0,-1.5390596611105014,0.10809540453910522,-1.8226969161000002,-1.6155586178999999,-1.5367390743,-1.4459632244999998,-1.354274508,6561.0,54.95468900264062,0.05176320892725931,54.8001510803,54.918781704,54.9615313655,54.992811481800004,55.066986460600006,6561.0,0.28090230147843315,0.7115442946780683,0.0,0.0,0.0,0.0,7.0,6561.0,258.6448712086572,7.350113549771752,249.0,255.0,256.0,268.0,310.0,6561.0,410.0,0.0,410.0,410.0,410.0,410.0,410.0,506.0,-1.530667341501976,0.09456331330108582,-1.72775363,-1.61235592,-1.557382115,-1.44494902,-1.38086187,506.0,54.97171413513834,0.04102755987294997,54.82098198,54.9531482525,54.97516612,55.00050462,55.04218202
104,Warwickshire,3744.0,-1.5272102070520301,0.15564599855719427,-1.9292721485,-1.61504173365,-1.5277696779,-1.446387229875,-1.1858891148000001,3744.0,52.36228196119564,0.14078744122284276,51.9674409158,52.26815916979999,52.35548114295,52.499302033525005,52.67769272140001,3744.0,1.544337606837607,1.3196798441543744,0.0,1.0,1.0,2.0,13.0,3744.0,174.24759615384616,30.362726027320868,58.0,143.0,159.0,193.0,264.0,3744.0,420.0,0.0,420.0,420.0,420.0,420.0,420.0,120.0,-1.56660727775,0.16550538916277777,-1.84466542,-1.71390035,-1.58025921,-1.46648306,-1.25047119,120.0,52.355718086749995,0.11760547557014053,52.19272958,52.2833445825,52.34222787,52.4796177825,52.6258478
105,West Midlands,13771.0,-1.903883919632002,0.18361435713591115,-2.2055459516,-2.03788040865,-1.9351822441,-1.8166543155500001,-1.406958705,13771.0,52.49432156655514,0.06854200194405081,52.351386186400006,52.43957407355,52.486296431899994,52.5496705054,52.6604248358,13771.0,102.90814029482246,25.12346679291051,1.0,100.0,106.0,113.0,658.0,13771.0,253.50577300123447,12.815591366215779,241.0,241.0,248.0,264.0,275.0,13771.0,430.0,0.0,430.0,430.0,430.0,430.0,430.0,13747.0,-1.9036912262064452,0.1837024728753862,-2.20539367,-2.03756797,-1.9350125,-1.816425675,-1.40658227,13747.0,52.494282936501776,0.06857219080618755,52.35139905,52.43947698,52.48620166,52.54972747,52.66032246
